iter	Passed	Remaining
1013	47925	93866
1014	47978	93829
1015	48022	93776
1016	48068	93726
1017	48104	93658
1018	48152	93611
1019	48198	93562
1020	48249	93522
1021	48299	93479
1022	48344	93429
1023	48381	93360
1024	48428	93313
1025	48466	93247
1026	48514	93201
1027	48559	93151
1028	48609	93109
1029	48654	93058
1030	48701	93009
1031	48746	92958
1032	48791	92906
1033	48836	92856
1034	48883	92807
1035	48931	92762
1036	48976	92711
1037	49026	92668
1038	49073	92621
1039	49120	92572
1040	49166	92523
1041	49211	92472
1042	49258	92423
1043	49305	92376
1044	49352	92330
1045	49402	92287
1046	49453	92247
1047	49499	92196
1048	49547	92151
1049	49593	92103
1050	49641	92056
1051	49678	91990
1052	49727	91946
1053	49773	91896
1054	49820	91848
1055	49866	91799
1056	49914	91754
1057	49961	91706
1058	50008	91658
1059	50055	91611
1060	50103	91565
1061	50149	91515
1062	50196	91467
1063	50243	91421
1064	50281	91356
1065	50329	91310
1066	50378	91266
1067	50429	91226
1068	50480	91186
1069	50528	91140
1070	50575	91092
1071	50621	91043
1072	50666	90992
1073	50712	90942
1074	50759	90894
1075	50805	90845
1076	50853	90798
1077	50899	90750
1078	50948	90707
1079	50995	90658
1080	51042	90610
1081	51090	90565
1082	51137	90518
1083	51184	90469
1084	51229	90418
1085	51274	90367
1086	51320	90317
1087	51366	90269
1088	51414	90223
1089	51461	90175
1090	51507	90126
1091	51557	90084
1092	51606	90039
1093	51653	89991
1094	51703	89949
1095	51749	89899
1096	51796	89853
1097	51845	89808
1098	51889	89755
1099	51937	89710
1100	51984	89662
1101	52032	89616
1102	52080	89570
1103	52127	89522
1104	52173	89474
1105	52212	89413
1106	52277	89396
1107	52339	89373
1108	52394	89339
1109	52443	89296
1110	52494	89255
1111	52541	89206
1112	52603	89184
1113	52661	89156
1114	52717	89122
1115	52764	89075
1116	52812	89029
1117	52860	88982
1118	52906	88933
1119	52952	88885
1120	52996	88832
1121	53044	88784
1122	53090	88736
1123	53136	88686
1124	53185	88641
1125	53230	88592
1126	53282	88551
1127	53331	88507
1128	53385	88471
1129	53444	88443
1130	53493	88398
1131	53540	88350
1132	53587	88304
1133	53640	88265
1134	53686	88216
1135	53732	88166
1136	53792	88140
1137	53847	88105
1138	53901	88069
1139	53955	88032
1140	54011	87999
1141	54065	87962
1142	54117	87922
1143	54169	87883
1144	54219	87841
1145	54270	87798
1146	54319	87753
1147	54372	87716
1148	54423	87675
1149	54471	87628
1150	54517	87577
1151	54565	87532
1152	54612	87483
1153	54657	87432
1154	54701	87380
1155	54745	87327
1156	54791	87277
1157	54838	87229
1158	54887	87185
1159	54940	87146
1160	54984	87094
1161	55022	87031
1162	55070	86985
1163	55116	86936
1164	55162	86887
1165	55207	86836
1166	55243	86771
1167	55291	86724
1168	55347	86689
1169	55393	86640
1170	55442	86596
1171	55490	86549
1172	55537	86502
1173	55584	86454
1174	55630	86404
1175	55676	86354
1176	55720	86303
1177	55766	86253
1178	55813	86205
1179	55850	86141
1180	55897	86094
1181	55935	86033
1182	55981	85984
1183	56028	85934
1184	56078	85891
1185	56136	85860
1186	56185	85817
1187	56231	85767
1188	56276	85716
1189	56320	85663
1190	56366	85614
1191	56411	85564
1192	56458	85515
1193	56503	85465
1194	56548	85414
1195	56598	85370
1196	56648	85328
1197	56695	85279
1198	56740	85228
1199	56784	85177
1200	56830	85127
1201	56877	85080
1202	56924	85031
1203	56973	84986
1204	57018	84936
1205	57060	84881
1206	57105	84830
1207	57149	84778
1208	57193	84725
1209	57238	84674
1210	57284	84626
1211	57330	84577
1212	57366	84513
1213	57412	84462
1214	57459	84415
1215	57504	84365
1216	57550	84316
1217	57597	84268
1218	57646	84223
1219	57693	84176
1220	57741	84128
1221	57789	84083
1222	57838	84038
1223	57886	83992
1224	57936	83948
1225	57983	83900
1226	58028	83850
1227	58073	83800
1228	58119	83751
1229	58156	83689
1230	58201	83638
1231	58240	83579
1232	58287	83531
1233	58333	83481
1234	58370	83420
1235	58420	83376
1236	58470	83333
1237	58516	83283
1238	58563	83236
1239	58609	83188
1240	58657	83142
1241	58705	83094
1242	58749	83043
1243	58797	82997
1244	58847	82953
1245	58895	82907
1246	58942	82860
1247	58990	82813
1248	59043	82774
1249	59089	82725
1250	59134	82674
1251	59178	82623
1252	59223	82573
1253	59270	82525
1254	59315	82474
1255	59361	82425
1256	59409	82379
1257	59458	82334
1258	59506	82288
1259	59553	82240
1260	59601	82194
1261	59649	82148
1262	59694	82097
1263	59736	82043
1264	59773	81982
1265	59822	81936
1266	59868	81887
1267	59914	81839
1268	59960	81789
1269	60007	81743
1270	60056	81697
1271	60102	81648
1272	60149	81600
1273	60195	81551
1274	60241	81502
1275	60289	81456
1276	60334	81406
1277	60382	81359
1278	60431	81316
1279	60478	81268
1280	60525	81220
1281	60571	81171
1282	60617	81121
1283	60662	81072
1284	60707	81021
1285	60753	80973
1286	60802	80928
1287	60848	80879
1288	60893	80828
1289	60938	80779
1290	60985	80731
1291	61033	80684
1292	61082	80639
1293	61129	80593
1294	61175	80543
1295	61227	80502
1296	61275	80456
1297	61321	80408
1298	61368	80360
1299	61415	80312
1300	61467	80272
1301	61515	80225
1302	61561	80176
1303	61609	80130
1304	61656	80082
1305	61702	80033
1306	61748	79984
1307	61794	79936
1308	61845	79893
1309	61890	79842
1310	61948	79809
1311	61997	79765
1312	62045	79718
1313	62093	79671
1314	62138	79622
1315	62189	79579
1316	62251	79551
1317	62298	79504
1318	62347	79459
1319	62394	79410
1320	62443	79365
1321	62493	79322
1322	62540	79274
1323	62585	79224
1324	62634	79179
1325	62671	79119
1326	62721	79075
1327	62767	79026
1328	62816	78981
1329	62863	78933
1330	62908	78883
1331	62946	78824
1332	62997	78782
1333	63044	78735
1334	63092	78688
1335	63141	78643
1336	63191	78599
1337	63238	78551
1338	63284	78503
1339	63322	78444
1340	63373	78401
1341	63420	78354
1342	63467	78307
1343	63513	78257
1344	63558	78207
1345	63597	78150
1346	63644	78103
1347	63690	78054
1348	63737	78005
1349	63788	77964
